backend,knot_points,sqp_budget_us,test_iters,tol_index,pcg_exit_tol,linsys_time_us
hip-nvidia,128,5000,1,2,0.0001,297.409
hip-nvidia,128,5000,1,2,0.0001,373.732
hip-nvidia,128,5000,1,2,0.0001,1113.43
hip-nvidia,128,5000,1,2,0.0001,1118.94
hip-nvidia,128,5000,1,2,0.0001,1369.23
hip-nvidia,128,5000,1,2,0.0001,1250.29
hip-nvidia,128,5000,1,2,0.0001,1353.88
hip-nvidia,128,5000,1,2,0.0001,1104.55
hip-nvidia,128,5000,1,2,0.0001,1083.5
hip-nvidia,128,5000,1,2,0.0001,1277.96
hip-nvidia,128,5000,1,2,0.0001,275.073
hip-nvidia,128,5000,1,2,0.0001,1164.26
hip-nvidia,128,5000,1,2,0.0001,586.287
hip-nvidia,128,5000,1,2,0.0001,1189.07
hip-nvidia,128,5000,1,2,0.0001,358.069
hip-nvidia,128,5000,1,2,0.0001,1337.14
hip-nvidia,128,5000,1,2,0.0001,794.025
hip-nvidia,128,5000,1,2,0.0001,308.686
hip-nvidia,128,5000,1,2,0.0001,742.698
hip-nvidia,128,5000,1,2,0.0001,474.268
hip-nvidia,128,5000,1,2,0.0001,417.45
hip-nvidia,128,5000,1,2,0.0001,347.042
hip-nvidia,128,5000,1,2,0.0001,178.01
hip-nvidia,128,5000,1,2,0.0001,173.798
hip-nvidia,128,5000,1,2,0.0001,202.625
hip-nvidia,128,5000,1,2,0.0001,177.488
hip-nvidia,128,5000,1,2,0.0001,191.261
hip-nvidia,128,5000,1,2,0.0001,175.329
hip-nvidia,128,5000,1,2,0.0001,186.812
hip-nvidia,128,5000,1,2,0.0001,885.336
hip-nvidia,128,5000,1,2,0.0001,785.918
hip-nvidia,128,5000,1,2,0.0001,671.51
hip-nvidia,128,5000,1,2,0.0001,294.489
hip-nvidia,128,5000,1,2,0.0001,191.001
hip-nvidia,128,5000,1,2,0.0001,230.367
hip-nvidia,128,5000,1,2,0.0001,183.425
hip-nvidia,128,5000,1,2,0.0001,268.17
hip-nvidia,128,5000,1,2,0.0001,237.715
hip-nvidia,128,5000,1,2,0.0001,174.808
hip-nvidia,128,5000,1,2,0.0001,174.536
hip-nvidia,128,5000,1,2,0.0001,1036.37
hip-nvidia,128,5000,1,2,0.0001,1255.61
hip-nvidia,128,5000,1,2,0.0001,1221.92
hip-nvidia,128,5000,1,2,0.0001,1029.01
hip-nvidia,128,5000,1,2,0.0001,297.149
hip-nvidia,128,5000,1,2,0.0001,293.502
hip-nvidia,128,5000,1,2,0.0001,282.778
hip-nvidia,128,5000,1,2,0.0001,278.209
