backend,knot_points,sqp_budget_us,test_iters,solver,label,tol_index,pcg_exit_tol,linsys_time_us
hip-nvidia,128,5000,1,GBD-PCG,GBD-PCG eps=0.0001,2,0.0001,193.54
hip-nvidia,128,5000,1,GBD-PCG,GBD-PCG eps=0.0001,2,0.0001,22.5
hip-nvidia,128,5000,1,GBD-PCG,GBD-PCG eps=0.0001,2,0.0001,71.69
hip-nvidia,128,5000,1,GBD-PCG,GBD-PCG eps=0.0001,2,0.0001,774.498
hip-nvidia,128,5000,1,GBD-PCG,GBD-PCG eps=0.0001,2,0.0001,983.118
hip-nvidia,128,5000,1,GBD-PCG,GBD-PCG eps=0.0001,2,0.0001,515.069
hip-nvidia,128,5000,1,GBD-PCG,GBD-PCG eps=0.0001,2,0.0001,22.61
hip-nvidia,128,5000,1,GBD-PCG,GBD-PCG eps=0.0001,2,0.0001,22.91
hip-nvidia,128,5000,1,GBD-PCG,GBD-PCG eps=0.0001,2,0.0001,38.96
hip-nvidia,128,5000,1,GBD-PCG,GBD-PCG eps=0.0001,2,0.0001,21.84
hip-nvidia,128,5000,1,GBD-PCG,GBD-PCG eps=0.0001,2,0.0001,24.57
hip-nvidia,128,5000,1,GBD-PCG,GBD-PCG eps=0.0001,2,0.0001,22.829
hip-nvidia,128,5000,1,GBD-PCG,GBD-PCG eps=0.0001,2,0.0001,161.74
hip-nvidia,128,5000,1,GBD-PCG,GBD-PCG eps=0.0001,2,0.0001,33.99
hip-nvidia,128,5000,1,GBD-PCG,GBD-PCG eps=0.0001,2,0.0001,23.6
hip-nvidia,128,5000,1,GBD-PCG,GBD-PCG eps=0.0001,2,0.0001,38.85
hip-nvidia,128,5000,1,GBD-PCG,GBD-PCG eps=0.0001,2,0.0001,923.808
hip-nvidia,128,5000,1,GBD-PCG,GBD-PCG eps=0.0001,2,0.0001,526.468
hip-nvidia,128,5000,1,GBD-PCG,GBD-PCG eps=0.0001,2,0.0001,440.279
hip-nvidia,128,5000,1,GBD-PCG,GBD-PCG eps=0.0001,2,0.0001,722.138
